Run,Time
1,17.068
2,17.051
3,17.047
4,17.053
5,16.98
6,16.986
7,16.99
8,16.987
9,16.973
10,16.985
11,16.979
12,17.019
13,17.068
14,17.101
15,17.054
16,17.071
17,17.163
18,17.463
19,17.199
20,17.065
