Run,Time
1,3.460381
2,3.455528
3,3.461961
4,3.454874
5,3.403426
6,3.355731
7,3.357144
8,3.372621
9,3.365027
10,3.424378
11,3.383337
12,3.362052
13,3.361900
14,3.363067
15,3.362965
16,3.362497
17,3.359524
18,3.362620
19,3.360720
20,3.360545
