Run,Time
1,369.21750220614524
2,366.42286457909805
3,368.2295637782431
4,365.2945068582034
5,365.8034993154586
6,363.4005307387359
7,368.3595810824715
8,367.8712108397199
9,368.6870367239383
10,363.0193495670494
11,365.7231798935961
12,362.6938081375244
13,362.50251129311385
14,368.09899685364645
15,366.10267303136214
16,365.5174555272434
17,369.8706828019154
18,364.7851347168247
19,369.6707598201488
20,366.05609301168655
