Run,Time
1,4.739159425
2,4.5528194509999995
3,4.720837706
4,4.52046841
5,4.351901427
6,4.344426844
7,4.354600493
8,4.346980463
9,4.338376453
10,4.343977339
11,4.344208169
12,4.342838959
13,4.344386744
14,4.343805664
15,4.379332106
16,4.351668859
17,4.3498251
18,4.343866025
19,4.34762892
20,4.343319733
